[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Pravni fakultet Sveučilišta u Zagrebu', 'Izvanredni', 'Pravo (izvanredni)', 'Zagreb', 150.0, 295.0, 40.0, 0.27, 0, 75.0]
[2014, 'l', 'Sveučilište Josipa Jurja Strossmayera u Osijeku', 'Javna sveučilišta', 'Ekonomski fakultet Sveučilišta u Osijeku', 'Izvanredni', 'Ekonomska politika i regionalni razvitak,  Financijski menadžment, Marketing, Menadžment, Poduzetništvo, Poslovna informatika  (izvanredni)', 'Osijek', 200.0, 171.0, 54.0, 0.27, 0, 74.0]
[2014, 'l', 'Sveučilište Josipa Jurja Strossmayera u Osijeku', 'Javna sveučilišta', 'Medicinski fakultet Sveučilišta u Osijeku', 'Redovni', 'Medicina', 'Osijek', 70.0, 636.0, 150.0, 2.14, 0, 73.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Fakultet prometnih znanosti Sveučilišta u Zagrebu', 'Redovni', 'Inteligentni transportni sustavi i logistika', 'Zagreb', 73.0, 454.0, 65.0, 0.89, 0, 72.0]
[2014, 'l', 'Sveučilište u Rijeci', 'Javna sveučilišta', 'Pomorski fakultet Sveučilišta u Rijeci', 'Redovni', 'Brodostrojarstvo', 'Rijeka', 73.0, 318.0, 100.0, 1.37, 0, 70.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Agronomski fakultet Sveučilišta u Zagrebu', 'Redovni', 'Hortikultura', 'Zagreb', 70.0, 203.0, 51.0, 0.73, 0, 70.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Učiteljski fakultet Sveučilišta u Zagrebu', 'Redovni', 'Učiteljski studij', 'Čakovec', 70.0, 268.0, 74.0, 1.06, 0, 70.0]
[2014, 'l', 'Sveučilište Josipa Jurja Strossmayera u Osijeku', 'Javna sveučilišta', 'Odjel za biologiju Sveučilišta u Osijeku', 'Redovni', 'Biologija', 'Osijek', 70.0, 414.0, 101.0, 1.44, 0, 70.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Prehrambeno-biotehnološki fakultet Sveučilišta u Zagrebu', 'Redovni', 'Prehrambena tehnologija', 'Zagreb', 72.0, 523.0, 67.0, 0.93, 0, 70.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Filozofski fakultet Sveučilišta u Zagrebu', 'Redovni', 'Povijest umjetnosti (dvopredmetni)', 'Zagreb', 76.0, 536.0, 55.0, 0.72, 0, 70.0]
[2014, 'l', 'Sveučilište u Splitu', 'Javna sveučilišta', 'Ekonomski fakultet Sveučilišta u Splitu', 'Redovni', 'Ekonomija', 'Split', 70.0, 522.0, 55.0, 0.79, 0, 70.0]
[2014, 'l', 'Sveučilište u Splitu', 'Javna sveučilišta', 'Ekonomski fakultet Sveučilišta u Splitu', 'Redovni', 'Turizam', 'Split', 70.0, 582.0, 105.0, 1.5, 0, 70.0]
[2014, 'l', 'Veleučilište u Slavonskom Brodu', 'Javna veleučilišta', 'Veleučilište u Slavonskom Brodu', 'Redovni', 'Proizvodno strojarstvo (stručni)', 'Slavonski Brod', 75.0, 219.0, 71.0, 0.95, 0, 70.0]
[2014, 'l', 'Sveučilište u Rijeci', 'Javna sveučilišta', 'Pomorski fakultet Sveučilišta u Rijeci', 'Redovni', 'Logistika i menadžment u pomorstvu i prometu', 'Rijeka', 70.0, 634.0, 100.0, 1.43, 0, 69.0]
[2014, 'l', 'Sveučilište u Rijeci', 'Javna sveučilišta', 'Pomorski fakultet Sveučilišta u Rijeci', 'Redovni', 'Nautika i tehnologija pomorskog prometa', 'Rijeka', 73.0, 434.0, 134.0, 1.84, 0, 69.0]
[2014, 'l', 'Sveučilište u Splitu', 'Javna sveučilišta', 'Sveučilišni odjel za stručne studije', 'Izvanredni', 'Menadžment trgovine i turizma (izvanredni, stručni)', 'Split', 83.0, 166.0, 39.0, 0.47, 0, 66.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Šumarski fakultet Sveučilišta u Zagrebu', 'Redovni', 'Urbano šumarstvo, zaštita prirode i okoliša', 'Zagreb', 70.0, 545.0, 61.0, 0.87, 0, 65.0]
[2014, 'l', 'Sveučilište u Rijeci', 'Javna sveučilišta', 'Odjel za informatiku Sveučilišta u Rijeci', 'Redovni', 'Informatika (jednopredmetni)', 'Rijeka', 65.0, 491.0, 113.0, 1.74, 0, 63.0]
